,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-05-01 06:32:00,2019-05-01 07:29:00,I-495N north @ MM 54.000,57,2.0
1,Collision,2019-05-01 09:14:00,2019-05-01 10:03:00,I-495S south @ MM 46.000,49,1.0
2,Collision,2019-05-01 16:11:00,2019-05-01 18:00:00,I-495N north @ MM 45.000,109,1.0
3,Collision,2019-05-01 17:43:00,2019-05-01 18:42:00,I-495S south @ MM 46.800,59,1.0
4,Collision,2019-05-01 18:52:00,2019-05-01 19:51:00,I-495S south @ MM 51.000,59,3.0
5,Collision,2019-05-03 08:22:00,2019-05-03 09:21:00,I-495N north @ MM 43.400,59,1.0
6,Collision,2019-05-03 17:02:00,2019-05-03 18:10:00,I-495S south @ MM 55.000,68,1.0
7,Collision,2019-05-04 12:18:00,2019-05-04 12:55:00,I-495S south @ MM 46.800,37,1.0
8,Collision,2019-05-04 23:35:00,2019-05-05 00:22:00,I-495S south @ MM 49.000,47,2.0
9,Collision,2019-05-05 02:30:00,2019-05-05 03:00:00,I-495S south @ MM 48.800,30,1.0
10,Collision,2019-05-05 10:37:00,2019-05-05 11:20:00,I-495S south @ MM 54.000,43,1.0
11,Collision,2019-05-06 02:32:00,2019-05-06 03:49:00,I-495S south @ MM 47.000,77,3.0
12,Collision,2019-05-07 07:46:00,2019-05-07 10:14:00,I-495S south @ MM 46.000,148,3.0
13,Collision,2019-05-07 22:02:00,2019-05-07 23:06:00,I-495S south @ MM 49.800,64,3.0
14,Collision,2019-05-08 06:53:00,2019-05-08 08:00:00,I-495N north @ MM 53.000,67,1.0
15,Collision,2019-05-08 09:54:00,2019-05-08 10:33:00,I-495N north @ MM 55.800,39,1.0
16,Collision,2019-05-08 10:53:00,2019-05-08 12:18:00,I-495S south @ MM 46.000,85,1.0
17,Collision,2019-05-08 15:34:00,2019-05-08 16:12:00,I-495S south @ MM 46.000,38,2.0
18,Collision,2019-05-09 14:42:00,2019-05-09 15:36:00,I-495S south @ MM 44.000,54,2.0
19,Collision,2019-05-10 01:14:00,2019-05-10 03:34:00,I-495N north @ MM 44.000,140,1.0
20,Collision,2019-05-10 16:26:00,2019-05-10 17:58:00,I-495N north @ MM 46.000,92,1.0
21,Collision,2019-05-11 09:55:00,2019-05-11 13:17:00,I-495N north @ MM 43.000,202,1.0
22,Collision,2019-05-11 15:38:00,2019-05-11 17:14:00,I-495S south @ MM 53.400,96,1.0
23,Collision,2019-05-11 16:12:00,2019-05-11 17:20:00,I-495N north @ MM 54.000,68,2.0
24,Collision,2019-05-11 17:15:00,2019-05-11 17:48:00,I-495N north @ MM 46.000,33,1.0
