,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
60,Collision,2019-02-21 11:23:00,2019-02-23 03:47:00,I-495N north @ MM 44.000,2424,3.0
61,Collision,2019-02-22 09:13:00,2019-02-22 10:44:00,I-495N north @ MM 47.300,91,1.0
62,Collision,2019-02-22 14:19:00,2019-02-22 15:07:00,I-495N north @ MM 48.600,48,5.0
63,Collision,2019-02-22 15:51:00,2019-02-22 16:41:00,I-495S south @ MM 55.600,50,1.0
64,Collision,2019-02-22 17:32:00,2019-02-22 18:52:00,I-495N north @ MM 54.000,80,3.0
65,Collision,2019-02-22 18:53:00,2019-02-22 19:38:00,I-495N north @ MM 46.000,45,1.0
66,Collision,2019-02-22 18:58:00,2019-02-22 20:27:00,I-495N north @ MM 43.000,89,1.0
67,Collision,2019-02-22 20:15:00,2019-02-22 21:29:00,I-495N north @ MM 43.100,74,1.0
68,Collision,2019-02-23 16:14:00,2019-02-23 17:31:00,I-495S south @ MM 47.200,77,1.0
69,Collision,2019-02-23 21:04:00,2019-02-27 16:39:00,I-495N north @ MM 43.000,5495,
70,Collision,2019-02-23 23:28:00,2019-02-24 00:31:00,I-495S south @ MM 50.000,63,
71,Collision,2019-02-24 05:30:00,2019-02-24 06:11:00,I-495S south @ MM 48.600,41,2.0
72,Collision,2019-02-24 19:09:00,2019-02-24 20:40:00,I-495S south @ MM 47.000,91,
73,Collision,2019-02-25 18:35:00,2019-02-25 19:50:00,I-495S south @ MM 51.000,75,1.0
74,Collision,2019-02-26 02:13:00,2019-02-26 04:27:00,I-495S south @ MM 57.200,134,1.0
75,Collision,2019-02-26 07:03:00,2019-02-26 08:46:00,I-495N north @ MM 53.600,103,1.0
76,Collision,2019-02-26 08:51:00,2019-02-26 09:44:00,I-495N north @ MM 55.200,53,1.0
77,Collision,2019-02-26 15:36:00,2019-02-26 17:13:00,I-495N north @ MM 50.000,97,1.0
78,Collision,2019-02-27 16:12:00,2019-02-27 18:34:00,I-495S south @ MM 48.800,142,2.0
79,Collision,2019-02-27 17:30:00,2019-02-27 19:18:00,I-495S south @ MM 47.000,108,2.0
80,Collision,2019-02-27 17:51:00,2019-02-27 18:57:00,I-495S south @ MM 50.000,66,
81,Collision,2019-02-27 18:32:00,2019-02-27 19:47:00,I-495S south @ MM 50.100,75,
82,Collision,2019-02-27 19:05:00,2019-02-27 20:09:00,I-495N north @ MM 43.000,64,1.0
83,Collision,2019-02-27 19:28:00,2019-02-27 20:13:00,I-495S south @ MM 46.800,45,1.0
84,Collision,2019-02-28 09:05:00,2019-02-28 10:01:00,I-495N north @ MM 52.100,56,1.0
85,Collision,2019-02-28 10:36:00,2019-02-28 11:19:00,I-495N north @ MM 52.500,43,2.0
86,Collision,2019-02-28 19:06:00,2019-02-28 19:43:00,I-495N north @ MM 51.000,37,1.0
87,Collision,2019-02-28 19:50:00,2019-02-28 21:41:00,I-495S south @ MM 51.000,111,1.0
88,Collision,2019-02-28 19:56:00,2019-02-28 20:32:00,I-495N north @ MM 44.000,36,1.0
89,Collision,2019-02-28 20:19:00,2019-02-28 21:35:00,I-495S south @ MM 50.900,76,3.0
90,Collision,2019-02-01 15:17:00,2019-02-01 16:00:00,I-495N north @ MM 43.000,43,1.0
91,Collision,2019-02-01 20:15:00,2019-02-01 21:31:00,I-495N north @ MM 52.000,76,3.0
92,Collision,2019-02-02 00:24:00,2019-02-02 00:54:00,I-495N north @ MM 49.000,30,1.0
93,Collision,2019-02-02 02:09:00,2019-02-02 03:49:00,I-495N north @ MM 49.000,100,1.0
94,Collision,2019-02-02 06:22:00,2019-02-02 07:20:00,I-495S south @ MM 49.000,58,1.0
95,Collision,2019-02-02 08:03:00,2019-02-02 10:35:00,I-495N north @ MM 51.000,152,1.0
96,Collision,2019-02-02 08:34:00,2019-02-02 09:57:00,I-495N north @ MM 54.800,83,2.0
97,Collision,2019-02-02 08:37:00,2019-02-02 10:38:00,I-495S south @ MM 52.000,121,
98,Collision,2019-02-02 08:58:00,2019-02-02 09:58:00,I-495N north @ MM 43.000,60,2.0
99,Collision,2019-02-02 12:43:00,2019-02-02 14:26:00,I-495N north @ MM 54.000,103,1.0
100,Collision,2019-02-02 19:22:00,2019-02-02 20:50:00,I-495S south @ MM 47.000,88,3.0
101,Collision,2019-03-01 01:55:00,2019-03-01 02:50:00,I-495S south @ MM 49.000,55,1.0
102,Collision,2019-03-01 05:05:00,2019-03-01 06:27:00,I-495S south @ MM 57.000,82,1.0
103,Collision,2019-03-01 06:16:00,2019-03-01 06:49:00,I-495N north @ MM 49.400,33,1.0
104,Collision,2019-03-01 13:47:00,2019-03-01 14:37:00,I-495S south @ MM 52.200,50,1.0
105,Collision,2019-03-02 03:17:00,2019-03-02 04:42:00,I-495N north @ MM 54.000,85,3.0
106,Collision,2019-03-02 12:15:00,2019-03-02 13:40:00,I-495N north @ MM 47.000,85,2.0
107,Collision,2019-03-02 14:56:00,2019-03-02 15:57:00,I-495N north @ MM 43.000,61,1.0
108,Collision,2019-03-02 17:24:00,2019-03-02 18:55:00,I-495N north @ MM 45.000,91,2.0
109,Collision,2019-03-03 17:49:00,2019-03-03 18:32:00,I-495S south @ MM 56.000,43,2.0
110,Collision,2019-03-04 10:55:00,2019-03-04 14:34:00,I-495N north @ MM 54.800,219,2.0
111,Collision,2019-03-04 15:21:00,2019-03-04 16:12:00,I-495N north @ MM 43.000,51,1.0
112,Collision,2019-03-04 15:09:00,2019-03-04 15:59:00,I-495S south @ MM 46.500,50,1.0
113,Collision,2019-03-05 08:43:00,2019-03-05 09:17:00,I-495S south @ MM 50.100,34,1.0
114,Collision,2019-03-05 10:34:00,2019-03-05 12:16:00,I-495N north @ MM 53.400,102,1.0
115,Collision,2019-03-06 16:26:00,2019-03-06 17:37:00,I-495S south @ MM 51.600,71,2.0
116,Collision,2019-03-06 18:08:00,2019-03-06 19:26:00,I-495S south @ MM 49.000,78,1.0
117,Collision,2019-03-07 09:29:00,2019-03-07 11:13:00,I-495S south @ MM 42.500,104,1.0
118,Collision,2019-03-07 16:42:00,2019-03-07 17:15:00,I-495S south @ MM 50.100,33,1.0
119,Collision,2019-03-07 18:06:00,2019-03-07 19:54:00,I-495N north @ MM 50.000,108,1.0
120,Collision,2019-03-08 08:25:00,2019-03-08 09:14:00,I-495N north @ MM 54.200,49,1.0
121,Collision,2019-03-08 09:22:00,2019-03-08 10:46:00,I-495S south @ MM 46.000,84,1.0
122,Collision,2019-03-08 12:59:00,2019-03-08 14:42:00,I-495N north @ MM 49.000,103,1.0
123,Collision,2019-03-08 14:07:00,2019-03-08 15:49:00,I-495S south @ MM 52.800,102,1.0
124,Collision,2019-03-08 15:57:00,2019-03-08 18:04:00,I-495N north @ MM 46.600,127,1.0
125,Collision,2019-03-08 17:21:00,2019-03-08 18:25:00,I-495N north @ MM 46.000,64,1.0
126,Collision,2019-03-08 18:30:00,2019-03-08 19:49:00,I-495N north @ MM 52.000,79,1.0
127,Collision,2019-03-08 18:58:00,2019-03-08 19:30:00,I-495S south @ MM 47.000,32,1.0
128,Collision,2019-03-08 19:09:00,2019-03-08 21:02:00,I-495S south @ MM 49.000,113,1.0
129,Collision,2019-03-08 23:03:00,2019-03-09 00:51:00,I-495N north @ MM 57.000,108,2.0
130,Collision,2019-03-09 03:52:00,2019-03-09 04:54:00,I-495N north @ MM 42.500,62,1.0
131,Collision,2019-03-09 09:27:00,2019-03-09 10:15:00,I-495N north @ MM 54.400,48,1.0
132,Collision,2019-03-09 14:30:00,2019-03-09 15:50:00,I-495S south @ MM 47.800,80,2.0
133,Collision,2019-03-10 03:47:00,2019-03-10 04:43:00,I-495N north @ MM 52.000,56,1.0
134,Collision,2019-03-10 04:29:00,2019-03-10 05:18:00,I-495N north @ MM 54.000,49,1.0
135,Collision,2019-03-10 14:29:00,2019-03-10 15:49:00,I-495N north @ MM 49.300,80,2.0
136,Collision,2019-03-10 17:36:00,2019-03-10 19:17:00,I-495S south @ MM 48.500,101,1.0
137,Collision,2019-03-11 19:42:00,2019-03-11 21:14:00,I-495S south @ MM 56.400,92,2.0
138,Collision,2019-03-11 20:00:00,2019-03-12 00:09:00,I-495S south @ MM 52.000,249,1.0
139,Collision,2019-03-12 06:20:00,2019-03-12 07:43:00,I-495N north @ MM 45.000,83,3.0
140,Collision,2019-03-12 09:02:00,2019-03-12 09:42:00,I-495N north @ MM 54.000,40,1.0
141,Collision,2019-03-12 15:24:00,2019-03-12 16:04:00,I-495S south @ MM 50.000,40,1.0
142,Collision,2019-03-12 18:21:00,2019-03-12 19:16:00,I-495S south @ MM 46.600,55,1.0
143,Collision,2019-03-13 00:36:00,2019-03-13 02:07:00,I-495S south @ MM 54.800,91,4.0
144,Collision,2019-03-13 07:11:00,2019-03-13 08:48:00,I-495N north @ MM 47.400,97,1.0
145,Collision,2019-03-14 09:21:00,2019-03-14 10:10:00,I-495N north @ MM 54.800,49,1.0
146,Collision,2019-03-14 19:09:00,2019-03-14 19:51:00,I-495N north @ MM 45.200,42,1.0
147,Collision,2019-03-14 21:39:00,2019-03-14 23:03:00,I-495S south @ MM 52.000,84,1.0
148,Collision,2019-03-15 11:57:00,2019-03-15 13:38:00,I-495S south @ MM 55.000,101,2.0
149,Collision,2019-03-15 13:55:00,2019-03-15 14:47:00,I-495S south @ MM 51.000,52,2.0
150,Collision,2019-03-15 20:16:00,2019-03-15 21:27:00,I-495S south @ MM 52.000,71,3.0
151,Collision,2019-03-15 21:37:00,2019-03-15 22:42:00,I-495S south @ MM 52.000,65,4.0
152,Collision,2019-03-16 13:51:00,2019-03-16 14:47:00,I-495N north @ MM 43.800,56,1.0
153,Collision,2019-03-16 16:12:00,2019-03-16 18:29:00,I-495N north @ MM 43.000,137,
154,Collision,2019-03-17 14:46:00,2019-03-17 16:05:00,I-495N north @ MM 43.400,79,1.0
155,Collision,2019-03-17 23:12:00,2019-03-18 01:08:00,I-495S south @ MM 44.000,116,3.0
156,Collision,2019-03-18 08:07:00,2019-03-18 08:55:00,I-495S south @ MM 50.000,48,
157,Collision,2019-03-18 14:05:00,2019-03-18 14:57:00,I-495S south @ MM 54.600,52,1.0
158,Collision,2019-03-19 12:24:00,2019-03-19 13:40:00,I-495N north @ MM 55.600,76,1.0
159,Collision,2019-03-19 14:54:00,2019-03-19 16:12:00,I-495S south @ MM 51.900,78,2.0
160,Collision,2019-03-19 16:30:00,2019-03-19 17:53:00,I-495S south @ MM 48.600,83,2.0
161,Collision,2019-03-19 18:43:00,2019-03-19 19:22:00,I-495S south @ MM 45.000,39,1.0
162,Collision,2019-03-20 04:47:00,2019-03-20 06:17:00,I-495S south @ MM 47.500,90,4.0
163,Collision,2019-03-20 07:30:00,2019-03-20 08:18:00,I-495N north @ MM 44.000,48,1.0
164,Collision,2019-03-20 09:50:00,2019-03-20 11:39:00,I-495N north @ MM 49.000,109,
165,Collision,2019-03-20 16:29:00,2019-03-20 17:21:00,I-495N north @ MM 45.200,52,1.0
166,Collision,2019-03-20 16:51:00,2019-03-20 18:03:00,I-495S south @ MM 50.600,72,1.0
167,Collision,2019-03-21 07:36:00,2019-03-21 08:06:00,I-495N north @ MM 55.600,30,1.0
168,Collision,2019-03-21 08:59:00,2019-03-21 10:07:00,I-495N north @ MM 46.000,68,1.0
169,Collision,2019-03-21 12:32:00,2019-03-21 13:06:00,I-495S south @ MM 42.600,34,1.0
170,Collision,2019-03-21 14:51:00,2019-03-21 15:56:00,I-495N north @ MM 43.400,65,
171,Collision,2019-03-21 20:35:00,2019-03-21 23:08:00,I-495S south @ MM 52.600,153,1.0
172,Collision,2019-03-22 12:15:00,2019-03-24 01:54:00,I-495S south @ MM 57.000,2259,
173,Collision,2019-03-23 10:49:00,2019-03-23 11:56:00,I-495S south @ MM 47.000,67,1.0
174,Collision,2019-03-23 20:17:00,2019-03-23 21:42:00,I-495S south @ MM 47.800,85,1.0
175,Collision,2019-03-23 20:54:00,2019-03-23 22:16:00,I-495N north @ MM 49.000,82,
176,Collision,2019-03-24 03:26:00,2019-03-24 03:57:00,I-495S south @ MM 45.000,31,1.0
177,Collision,2019-03-24 16:45:00,2019-03-24 17:44:00,I-495N north @ MM 43.000,59,1.0
178,Collision,2019-03-24 18:03:00,2019-03-24 18:38:00,I-495S south @ MM 45.000,35,1.0
179,Collision,2019-03-25 09:56:00,2019-03-25 10:43:00,I-495N north @ MM 47.000,47,1.0
180,Collision,2019-03-25 16:13:00,2019-03-25 17:02:00,I-495S south @ MM 51.500,49,1.0
