,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-06-01 12:51:00,2019-06-01 13:37:00,I-495N north @ MM 52.000,46,1.0
1,Collision,2019-06-01 17:27:00,2019-06-01 18:42:00,I-495S south @ MM 51.000,75,2.0
2,Collision,2019-06-01 18:22:00,2019-06-01 19:00:00,I-495S south @ MM 51.100,38,1.0
3,Collision,2019-06-02 04:27:00,2019-06-02 06:07:00,I-495S south @ MM 49.500,100,3.0
4,Collision,2019-06-02 05:08:00,2019-06-02 05:52:00,I-495S south @ MM 57.000,44,
5,Collision,2019-06-02 12:50:00,2019-06-02 13:33:00,I-495N north @ MM 49.900,43,1.0
6,Collision,2019-06-02 13:50:00,2019-06-02 14:24:00,I-495N north @ MM 49.400,34,1.0
7,Collision,2019-06-02 18:29:00,2019-06-02 20:24:00,I-495S south @ MM 44.900,115,2.0
8,Collision,2019-06-02 19:19:00,2019-06-02 20:18:00,I-495N north @ MM 50.000,59,
9,Collision,2019-06-03 05:50:00,2019-06-03 07:40:00,I-495N north @ MM 49.000,110,1.0
10,Collision,2019-06-03 09:03:00,2019-06-03 10:06:00,I-495N north @ MM 53.400,63,1.0
11,Collision,2019-06-03 14:19:00,2019-06-03 20:39:00,I-495S south @ MM 44.000,380,2.0
12,Collision,2019-06-04 08:01:00,2019-06-04 08:55:00,I-495N north @ MM 46.000,54,1.0
13,Collision,2019-06-04 09:16:00,2019-06-04 10:26:00,I-495N north @ MM 43.300,70,3.0
14,Collision,2019-06-04 14:02:00,2019-06-04 15:36:00,I-495S south @ MM 50.400,94,1.0
15,Collision,2019-06-04 16:40:00,2019-06-04 20:06:00,I-495N north @ MM 45.000,206,1.0
16,Collision,2019-06-04 17:39:00,2019-06-04 18:12:00,I-495N north @ MM 43.400,33,1.0
17,Collision,2019-06-04 23:32:00,2019-06-05 00:34:00,I-495S south @ MM 54.000,62,1.0
18,Collision,2019-06-05 00:26:00,2019-06-05 01:51:00,I-495S south @ MM 48.200,85,1.0
19,Collision,2019-06-05 06:02:00,2019-06-05 07:23:00,I-495N north @ MM 45.500,81,1.0
20,Collision,2019-06-05 07:32:00,2019-06-05 08:49:00,I-495N north @ MM 55.600,77,3.0
21,Collision,2019-06-05 17:49:00,2019-06-05 18:58:00,I-495S south @ MM 54.000,69,1.0
22,Collision,2019-06-06 06:39:00,2019-06-06 08:33:00,I-495N north @ MM 55.000,114,1.0
23,Collision,2019-06-06 07:02:00,2019-06-06 08:00:00,I-495N north @ MM 54.100,58,1.0
24,Collision,2019-06-06 11:43:00,2019-06-06 12:39:00,I-495S south @ MM 45.400,56,1.0
25,Collision,2019-06-06 14:31:00,2019-06-06 15:29:00,I-495N north @ MM 56.500,58,1.0
26,Collision,2019-06-06 15:12:00,2019-06-06 15:48:00,I-495S south @ MM 46.000,36,
27,Collision,2019-06-06 17:52:00,2019-06-06 18:31:00,I-495S south @ MM 46.000,39,1.0
28,Collision,2019-06-06 17:22:00,2019-06-06 18:30:00,I-495S south @ MM 45.000,68,1.0
29,Collision,2019-06-06 17:44:00,2019-06-06 18:34:00,I-495S south @ MM 45.000,50,
30,Collision,2019-06-06 18:21:00,2019-06-06 19:02:00,I-495N north @ MM 47.000,41,1.0
31,Collision,2019-06-06 18:56:00,2019-06-06 19:42:00,I-495S south @ MM 49.000,46,1.0
32,Collision,2019-06-07 05:39:00,2019-06-07 07:46:00,I-495N north @ MM 49.000,127,3.0
33,Collision,2019-06-07 14:15:00,2019-06-07 15:59:00,I-495N north @ MM 46.100,104,2.0
34,Collision,2019-06-07 16:35:00,2019-06-07 17:24:00,I-495N north @ MM 47.000,49,
35,Collision,2019-06-08 00:45:00,2019-06-08 07:23:00,I-495N north @ MM 48.000,398,7.0
36,Collision,2019-06-08 04:39:00,2019-06-08 06:48:00,I-495N north @ MM 48.200,129,1.0
37,Collision,2019-06-08 13:17:00,2019-06-08 14:18:00,I-495N north @ MM 49.600,61,1.0
38,Collision,2019-06-08 15:57:00,2019-06-08 16:54:00,I-495S south @ MM 50.000,57,1.0
39,Collision,2019-06-08 15:55:00,2019-06-08 16:59:00,I-495N north @ MM 54.000,64,2.0
40,Collision,2019-06-09 12:58:00,2019-06-09 15:43:00,I-495S south @ MM 50.100,165,2.0
41,Collision,2019-06-09 20:40:00,2019-06-09 21:48:00,I-495N north @ MM 54.000,68,1.0
42,Collision,2019-06-09 21:26:00,2019-06-09 22:35:00,I-495S south @ MM 50.000,69,1.0
43,Collision,2019-06-10 09:30:00,2019-06-10 11:33:00,I-495N north @ MM 52.100,123,1.0
44,Collision,2019-06-10 12:14:00,2019-06-10 14:29:00,I-495N north @ MM 54.600,135,3.0
45,Collision,2019-06-10 15:01:00,2019-06-10 15:56:00,I-495S south @ MM 47.200,55,1.0
