,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-01-01 08:16:00,2019-01-01 08:55:00,I-495N north @ MM 47.000,39,
1,Collision,2019-01-01 09:11:00,2019-01-01 10:03:00,I-495S south @ MM 57.000,52,
2,Collision,2019-01-01 12:13:00,2019-01-01 13:31:00,I-495S south @ MM 51.000,78,2.0
3,Collision,2019-01-01 12:45:00,2019-01-01 13:40:00,I-495N north @ MM 50.900,55,1.0
4,Collision,2019-01-02 07:41:00,2019-01-02 08:53:00,I-495N north @ MM 54.000,72,1.0
5,Collision,2019-01-02 08:04:00,2019-01-02 09:04:00,I-495N north @ MM 52.200,60,1.0
6,Collision,2019-01-02 16:22:00,2019-01-02 17:43:00,I-495S south @ MM 49.500,81,1.0
7,Collision,2019-01-02 17:34:00,2019-01-02 19:16:00,I-495N north @ MM 51.600,102,1.0
8,Collision,2019-01-02 17:58:00,2019-01-02 18:56:00,I-495S south @ MM 43.000,58,1.0
9,Collision,2019-01-03 11:15:00,2019-01-18 03:41:00,I-495N north @ MM 49.800,986,1.0
10,Collision,2019-01-03 14:37:00,2019-01-18 03:06:00,I-495S south @ MM 54.000,749,
11,Collision,2019-01-03 17:37:00,2019-01-03 19:26:00,I-495S south @ MM 48.000,109,1.0
12,Collision,2019-01-04 17:03:00,2019-01-04 17:35:00,I-495S south @ MM 47.200,32,1.0
13,Collision,2019-01-04 18:04:00,2019-01-04 18:39:00,I-495S south @ MM 47.000,35,1.0
14,Collision,2019-01-04 20:10:00,2019-01-04 21:30:00,I-495N north @ MM 45.000,80,5.0
15,Collision,2019-01-04 21:39:00,2019-01-04 23:19:00,I-495S south @ MM 42.800,100,2.0
16,Collision,2019-01-05 06:33:00,2019-01-05 08:59:00,I-495S south @ MM 43.000,146,1.0
17,Collision,2019-01-05 16:04:00,2019-01-05 16:50:00,I-495N north @ MM 47.000,46,
18,Collision,2019-01-06 09:24:00,2019-01-06 10:29:00,I-495S south @ MM 45.000,65,1.0
19,Collision,2019-01-06 10:20:00,2019-01-06 11:20:00,I-495N north @ MM 50.000,60,1.0
20,Collision,2019-01-06 12:48:00,2019-01-06 14:21:00,I-495S south @ MM 56.000,93,3.0
21,Collision,2019-01-06 15:33:00,2019-01-06 16:46:00,I-495N north @ MM 51.000,73,2.0
22,Collision,2019-01-07 07:46:00,2019-01-07 08:16:00,I-495S south @ MM 48.900,30,1.0
23,Collision,2019-01-07 19:30:00,2019-01-07 21:05:00,I-495N north @ MM 46.000,95,1.0
24,Collision,2019-01-07 19:43:00,2019-01-07 21:50:00,I-495S south @ MM 52.400,127,3.0
25,Collision,2019-01-08 15:15:00,2019-01-08 15:58:00,I-495S south @ MM 49.500,43,1.0
26,Collision,2019-01-08 15:35:00,2019-01-08 16:24:00,I-495N north @ MM 49.000,49,1.0
27,Collision,2019-01-08 17:32:00,2019-01-08 18:30:00,I-495S south @ MM 49.000,58,1.0
28,Collision,2019-01-08 19:31:00,2019-01-08 20:26:00,I-495S south @ MM 51.000,55,1.0
29,Collision,2019-01-08 20:13:00,2019-01-08 22:02:00,I-495S south @ MM 49.000,109,1.0
30,Collision,2019-01-09 12:58:00,2019-01-09 14:12:00,I-495S south @ MM 48.000,74,1.0
31,Collision,2019-01-09 18:47:00,2019-01-09 19:17:00,I-495S south @ MM 49.000,30,1.0
32,Collision,2019-01-10 06:41:00,2019-01-10 07:18:00,I-495S south @ MM 45.000,37,1.0
33,Collision,2019-01-10 06:54:00,2019-01-10 08:14:00,I-495N north @ MM 53.400,80,1.0
34,Collision,2019-01-10 06:58:00,2019-01-10 07:43:00,I-495S south @ MM 52.400,45,1.0
35,Collision,2019-01-10 07:24:00,2019-01-10 08:16:00,I-495S south @ MM 55.000,52,1.0
36,Collision,2019-01-10 08:59:00,2019-01-10 09:42:00,I-495S south @ MM 54.400,43,1.0
37,Collision,2019-01-10 09:04:00,2019-01-10 10:32:00,I-495N north @ MM 45.500,88,1.0
38,Collision,2019-01-10 09:55:00,2019-01-10 10:37:00,I-495N north @ MM 55.000,42,1.0
39,Collision,2019-01-10 14:34:00,2019-01-10 15:15:00,I-495N north @ MM 48.500,41,1.0
40,Collision,2019-01-10 14:41:00,2019-01-10 15:55:00,I-495N north @ MM 42.800,74,2.0
41,Collision,2019-01-10 15:28:00,2019-01-10 16:06:00,I-495N north @ MM 45.600,38,1.0
42,Collision,2019-01-10 16:28:00,2019-01-10 17:12:00,I-495N north @ MM 47.400,44,1.0
43,Collision,2019-01-10 21:28:00,2019-01-10 22:14:00,I-495S south @ MM 56.000,46,4.0
44,Collision,2019-01-11 17:11:00,2019-01-11 17:54:00,I-495S south @ MM 50.100,43,
45,Collision,2019-01-11 17:59:00,2019-01-11 19:08:00,I-495N north @ MM 43.500,69,1.0
46,Collision,2019-01-11 19:07:00,2019-01-11 19:55:00,I-495S south @ MM 52.000,48,1.0
47,Collision,2019-01-11 19:10:00,2019-01-12 07:20:00,I-495S south @ MM 47.400,730,2.0
48,Collision,2019-01-12 10:18:00,2019-01-12 11:14:00,I-495N north @ MM 49.000,56,
49,Collision,2019-01-12 14:08:00,2019-01-12 14:40:00,I-495N north @ MM 52.900,32,1.0
50,Collision,2019-01-13 03:13:00,2019-01-13 04:27:00,I-495S south @ MM 50.000,74,1.0
51,Collision,2019-01-13 06:59:00,2019-01-13 07:38:00,I-495N north @ MM 47.000,39,
52,Collision,2019-01-13 20:04:00,2019-01-13 21:59:00,I-495N north @ MM 46.200,115,
53,Collision,2019-01-14 00:13:00,2019-01-14 01:54:00,I-495S south @ MM 43.300,101,2.0
54,Collision,2019-01-14 06:29:00,2019-01-14 08:48:00,I-495S south @ MM 43.500,139,3.0
55,Collision,2019-01-15 15:41:00,2019-01-15 16:42:00,I-495N north @ MM 45.100,61,5.0
56,Collision,2019-01-15 18:54:00,2019-01-15 19:40:00,I-495S south @ MM 43.800,46,1.0
57,Collision,2019-01-16 08:49:00,2019-01-16 09:42:00,I-495N north @ MM 51.500,53,1.0
58,Collision,2019-01-16 10:44:00,2019-01-16 11:46:00,I-495N north @ MM 43.680,62,2.0
59,Collision,2019-01-16 12:03:00,2019-01-21 08:08:00,I-495N north @ MM 50.100,1205,
60,Collision,2019-01-16 12:38:00,2019-01-16 13:21:00,I-495S south @ MM 44.400,43,1.0
61,Collision,2019-01-16 17:33:00,2019-01-16 18:52:00,I-495S south @ MM 43.000,79,1.0
62,Collision,2019-01-16 20:40:00,2019-01-16 21:19:00,I-495S south @ MM 48.400,39,2.0
63,Collision,2019-01-17 10:14:00,2019-01-17 11:23:00,I-495S south @ MM 45.600,69,3.0
64,Collision,2019-01-17 15:16:00,2019-01-17 15:59:00,I-495N north @ MM 47.300,43,1.0
65,Collision,2019-01-17 16:28:00,2019-01-17 18:35:00,I-495S south @ MM 50.000,127,1.0
66,Collision,2019-01-17 17:33:00,2019-01-17 18:38:00,I-495S south @ MM 43.000,65,1.0
67,Collision,2019-01-18 13:57:00,2019-01-18 15:13:00,I-495S south @ MM 51.000,76,1.0
68,Collision,2019-01-18 14:20:00,2019-01-18 18:58:00,I-495N north @ MM 43.400,278,4.0
69,Collision,2019-01-18 18:23:00,2019-01-18 20:03:00,I-495S south @ MM 44.000,100,2.0
70,Collision,2019-01-18 20:47:00,2019-01-18 21:54:00,I-495S south @ MM 50.500,67,2.0
71,Collision,2019-01-19 12:04:00,2019-01-19 12:54:00,I-495N north @ MM 47.200,50,1.0
72,Collision,2019-01-20 01:21:00,2019-01-20 02:02:00,I-495N north @ MM 47.000,41,1.0
73,Collision,2019-01-22 07:20:00,2019-01-22 07:59:00,I-495S south @ MM 54.400,39,
74,Collision,2019-01-22 12:53:00,2019-01-22 14:18:00,I-495S south @ MM 56.000,85,1.0
75,Collision,2019-01-22 16:37:00,2019-01-22 17:16:00,I-495S south @ MM 49.400,39,1.0
76,Collision,2019-01-22 18:31:00,2019-01-22 19:33:00,I-495S south @ MM 50.000,62,
77,Collision,2019-01-22 19:28:00,2019-01-22 21:14:00,I-495S south @ MM 51.000,106,4.0
78,Collision,2019-01-23 06:01:00,2019-01-23 07:28:00,I-495N north @ MM 54.500,87,3.0
79,Collision,2019-01-23 07:24:00,2019-01-23 09:01:00,I-495N north @ MM 50.600,97,
80,Collision,2019-01-23 09:09:00,2019-01-23 10:22:00,I-495S south @ MM 54.300,73,1.0
81,Collision,2019-01-23 09:25:00,2019-01-23 10:30:00,I-495N north @ MM 49.800,65,1.0
82,Collision,2019-01-23 13:29:00,2019-01-23 14:45:00,I-495N north @ MM 45.400,76,1.0
83,Collision,2019-01-24 05:00:00,2019-01-24 06:15:00,I-495N north @ MM 45.000,75,1.0
84,Collision,2019-01-24 07:57:00,2019-01-24 09:44:00,I-495N north @ MM 54.600,107,1.0
85,Collision,2019-01-24 13:20:00,2019-01-24 14:25:00,I-495S south @ MM 42.600,65,
86,Collision,2019-01-24 14:35:00,2019-01-24 18:35:00,I-495S south @ MM 51.000,240,4.0
87,Collision,2019-01-24 14:37:00,2019-01-24 18:38:00,I-495S south @ MM 51.000,241,4.0
88,Collision,2019-01-24 17:13:00,2019-01-24 19:07:00,I-495S south @ MM 51.100,114,2.0
89,Collision,2019-01-24 19:27:00,2019-01-24 21:09:00,I-495S south @ MM 47.000,102,1.0
90,Collision,2019-01-25 16:26:00,2019-01-25 17:32:00,I-495N north @ MM 44.600,66,1.0
91,Collision,2019-01-25 18:59:00,2019-01-25 20:24:00,I-495S south @ MM 46.000,85,1.0
92,Collision,2019-01-25 21:02:00,2019-01-25 22:08:00,I-495S south @ MM 54.600,66,1.0
93,Collision,2019-01-26 00:31:00,2019-01-26 01:20:00,I-495S south @ MM 52.000,49,2.0
94,Collision,2019-01-26 08:55:00,2019-01-26 09:39:00,I-495S south @ MM 50.100,44,
95,Collision,2019-01-26 18:14:00,2019-01-26 19:00:00,I-495N north @ MM 52.000,46,1.0
