,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-03-01 01:55:00,2019-03-01 02:50:00,I-495S south @ MM 49.000,55,1.0
1,Collision,2019-03-01 05:05:00,2019-03-01 06:27:00,I-495S south @ MM 57.000,82,1.0
2,Collision,2019-03-01 06:16:00,2019-03-01 06:49:00,I-495N north @ MM 49.400,33,1.0
3,Collision,2019-03-01 13:47:00,2019-03-01 14:37:00,I-495S south @ MM 52.200,50,1.0
4,Collision,2019-03-02 03:17:00,2019-03-02 04:42:00,I-495N north @ MM 54.000,85,3.0
5,Collision,2019-03-02 12:15:00,2019-03-02 13:40:00,I-495N north @ MM 47.000,85,2.0
6,Collision,2019-03-02 14:56:00,2019-03-02 15:57:00,I-495N north @ MM 43.000,61,1.0
7,Collision,2019-03-02 17:24:00,2019-03-02 18:55:00,I-495N north @ MM 45.000,91,2.0
8,Collision,2019-03-03 17:49:00,2019-03-03 18:32:00,I-495S south @ MM 56.000,43,2.0
9,Collision,2019-03-04 10:55:00,2019-03-04 14:34:00,I-495N north @ MM 54.800,219,2.0
10,Collision,2019-03-04 15:21:00,2019-03-04 16:12:00,I-495N north @ MM 43.000,51,1.0
11,Collision,2019-03-04 15:09:00,2019-03-04 15:59:00,I-495S south @ MM 46.500,50,1.0
12,Collision,2019-03-05 08:43:00,2019-03-05 09:17:00,I-495S south @ MM 50.100,34,1.0
13,Collision,2019-03-05 10:34:00,2019-03-05 12:16:00,I-495N north @ MM 53.400,102,1.0
14,Collision,2019-03-06 16:26:00,2019-03-06 17:37:00,I-495S south @ MM 51.600,71,2.0
15,Collision,2019-03-06 18:08:00,2019-03-06 19:26:00,I-495S south @ MM 49.000,78,1.0
16,Collision,2019-03-07 09:29:00,2019-03-07 11:13:00,I-495S south @ MM 42.500,104,1.0
17,Collision,2019-03-07 16:42:00,2019-03-07 17:15:00,I-495S south @ MM 50.100,33,1.0
18,Collision,2019-03-07 18:06:00,2019-03-07 19:54:00,I-495N north @ MM 50.000,108,1.0
19,Collision,2019-03-08 08:25:00,2019-03-08 09:14:00,I-495N north @ MM 54.200,49,1.0
20,Collision,2019-03-08 09:22:00,2019-03-08 10:46:00,I-495S south @ MM 46.000,84,1.0
21,Collision,2019-03-08 12:59:00,2019-03-08 14:42:00,I-495N north @ MM 49.000,103,1.0
22,Collision,2019-03-08 14:07:00,2019-03-08 15:49:00,I-495S south @ MM 52.800,102,1.0
23,Collision,2019-03-08 15:57:00,2019-03-08 18:04:00,I-495N north @ MM 46.600,127,1.0
24,Collision,2019-03-08 17:21:00,2019-03-08 18:25:00,I-495N north @ MM 46.000,64,1.0
25,Collision,2019-03-08 18:30:00,2019-03-08 19:49:00,I-495N north @ MM 52.000,79,1.0
26,Collision,2019-03-08 18:58:00,2019-03-08 19:30:00,I-495S south @ MM 47.000,32,1.0
27,Collision,2019-03-08 19:09:00,2019-03-08 21:02:00,I-495S south @ MM 49.000,113,1.0
28,Collision,2019-03-08 23:03:00,2019-03-09 00:51:00,I-495N north @ MM 57.000,108,2.0
29,Collision,2019-03-09 03:52:00,2019-03-09 04:54:00,I-495N north @ MM 42.500,62,1.0
30,Collision,2019-03-09 09:27:00,2019-03-09 10:15:00,I-495N north @ MM 54.400,48,1.0
31,Collision,2019-03-09 14:30:00,2019-03-09 15:50:00,I-495S south @ MM 47.800,80,2.0
32,Collision,2019-03-10 03:47:00,2019-03-10 04:43:00,I-495N north @ MM 52.000,56,1.0
33,Collision,2019-03-10 04:29:00,2019-03-10 05:18:00,I-495N north @ MM 54.000,49,1.0
34,Collision,2019-03-10 14:29:00,2019-03-10 15:49:00,I-495N north @ MM 49.300,80,2.0
35,Collision,2019-03-10 17:36:00,2019-03-10 19:17:00,I-495S south @ MM 48.500,101,1.0
36,Collision,2019-03-11 19:42:00,2019-03-11 21:14:00,I-495S south @ MM 56.400,92,2.0
37,Collision,2019-03-11 20:00:00,2019-03-12 00:09:00,I-495S south @ MM 52.000,249,1.0
38,Collision,2019-03-12 06:20:00,2019-03-12 07:43:00,I-495N north @ MM 45.000,83,3.0
39,Collision,2019-03-12 09:02:00,2019-03-12 09:42:00,I-495N north @ MM 54.000,40,1.0
40,Collision,2019-03-12 15:24:00,2019-03-12 16:04:00,I-495S south @ MM 50.000,40,1.0
41,Collision,2019-03-12 18:21:00,2019-03-12 19:16:00,I-495S south @ MM 46.600,55,1.0
42,Collision,2019-03-13 00:36:00,2019-03-13 02:07:00,I-495S south @ MM 54.800,91,4.0
43,Collision,2019-03-13 07:11:00,2019-03-13 08:48:00,I-495N north @ MM 47.400,97,1.0
44,Collision,2019-03-14 09:21:00,2019-03-14 10:10:00,I-495N north @ MM 54.800,49,1.0
45,Collision,2019-03-14 19:09:00,2019-03-14 19:51:00,I-495N north @ MM 45.200,42,1.0
46,Collision,2019-03-14 21:39:00,2019-03-14 23:03:00,I-495S south @ MM 52.000,84,1.0
47,Collision,2019-03-15 11:57:00,2019-03-15 13:38:00,I-495S south @ MM 55.000,101,2.0
48,Collision,2019-03-15 13:55:00,2019-03-15 14:47:00,I-495S south @ MM 51.000,52,2.0
49,Collision,2019-03-15 20:16:00,2019-03-15 21:27:00,I-495S south @ MM 52.000,71,3.0
50,Collision,2019-03-15 21:37:00,2019-03-15 22:42:00,I-495S south @ MM 52.000,65,4.0
51,Collision,2019-03-16 13:51:00,2019-03-16 14:47:00,I-495N north @ MM 43.800,56,1.0
52,Collision,2019-03-16 16:12:00,2019-03-16 18:29:00,I-495N north @ MM 43.000,137,
53,Collision,2019-03-17 14:46:00,2019-03-17 16:05:00,I-495N north @ MM 43.400,79,1.0
54,Collision,2019-03-17 23:12:00,2019-03-18 01:08:00,I-495S south @ MM 44.000,116,3.0
55,Collision,2019-03-18 08:07:00,2019-03-18 08:55:00,I-495S south @ MM 50.000,48,
56,Collision,2019-03-18 14:05:00,2019-03-18 14:57:00,I-495S south @ MM 54.600,52,1.0
57,Collision,2019-03-19 12:24:00,2019-03-19 13:40:00,I-495N north @ MM 55.600,76,1.0
58,Collision,2019-03-19 14:54:00,2019-03-19 16:12:00,I-495S south @ MM 51.900,78,2.0
59,Collision,2019-03-19 16:30:00,2019-03-19 17:53:00,I-495S south @ MM 48.600,83,2.0
60,Collision,2019-03-19 18:43:00,2019-03-19 19:22:00,I-495S south @ MM 45.000,39,1.0
61,Collision,2019-03-20 04:47:00,2019-03-20 06:17:00,I-495S south @ MM 47.500,90,4.0
62,Collision,2019-03-20 07:30:00,2019-03-20 08:18:00,I-495N north @ MM 44.000,48,1.0
63,Collision,2019-03-20 09:50:00,2019-03-20 11:39:00,I-495N north @ MM 49.000,109,
64,Collision,2019-03-20 16:29:00,2019-03-20 17:21:00,I-495N north @ MM 45.200,52,1.0
65,Collision,2019-03-20 16:51:00,2019-03-20 18:03:00,I-495S south @ MM 50.600,72,1.0
66,Collision,2019-03-21 07:36:00,2019-03-21 08:06:00,I-495N north @ MM 55.600,30,1.0
67,Collision,2019-03-21 08:59:00,2019-03-21 10:07:00,I-495N north @ MM 46.000,68,1.0
68,Collision,2019-03-21 12:32:00,2019-03-21 13:06:00,I-495S south @ MM 42.600,34,1.0
69,Collision,2019-03-21 14:51:00,2019-03-21 15:56:00,I-495N north @ MM 43.400,65,
70,Collision,2019-03-21 20:35:00,2019-03-21 23:08:00,I-495S south @ MM 52.600,153,1.0
71,Collision,2019-03-22 12:15:00,2019-03-24 01:54:00,I-495S south @ MM 57.000,819,
72,Collision,2019-03-23 10:49:00,2019-03-23 11:56:00,I-495S south @ MM 47.000,67,1.0
73,Collision,2019-03-23 20:17:00,2019-03-23 21:42:00,I-495S south @ MM 47.800,85,1.0
