,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
61,Collision,2019-04-22 14:17:00,2019-04-22 15:24:00,I-495N north @ MM 44.000,67,1.0
62,Collision,2019-04-22 18:14:00,2019-04-22 19:19:00,I-495N north @ MM 45.400,65,1.0
63,Collision,2019-04-23 06:43:00,2019-04-23 07:51:00,I-495N north @ MM 55.200,68,1.0
64,Collision,2019-04-23 20:07:00,2019-04-23 20:54:00,I-495S south @ MM 50.400,47,1.0
65,Collision,2019-04-24 01:14:00,2019-04-24 02:29:00,I-495N north @ MM 46.600,75,3.0
66,Collision,2019-04-24 05:15:00,2019-04-24 06:35:00,I-495S south @ MM 45.000,80,2.0
67,Collision,2019-04-24 10:43:00,2019-04-24 13:22:00,I-495N north @ MM 53.800,159,1.0
68,Collision,2019-04-24 14:25:00,2019-04-24 15:31:00,I-495S south @ MM 52.900,66,2.0
69,Collision,2019-04-25 07:43:00,2019-04-25 08:49:00,I-495N north @ MM 54.600,66,1.0
70,Collision,2019-04-25 08:42:00,2019-04-25 09:13:00,I-495N north @ MM 55.600,31,1.0
71,Collision,2019-04-25 10:25:00,2019-04-25 11:49:00,I-495N north @ MM 44.900,84,
72,Collision,2019-04-25 13:32:00,2019-04-25 14:54:00,I-495N north @ MM 52.400,82,1.0
73,Collision,2019-04-25 13:40:00,2019-04-25 14:55:00,I-495N north @ MM 43.800,75,2.0
74,Collision,2019-04-25 13:53:00,2019-04-25 14:47:00,I-495N north @ MM 48.900,54,
75,Collision,2019-04-25 17:18:00,2019-04-25 18:21:00,I-495N north @ MM 56.000,63,2.0
76,Collision,2019-04-25 19:05:00,2019-04-25 20:15:00,I-495N north @ MM 55.000,70,3.0
77,Collision,2019-04-26 10:04:00,2019-04-26 11:32:00,I-495S south @ MM 44.800,88,3.0
78,Collision,2019-04-26 11:19:00,2019-04-26 12:14:00,I-495N north @ MM 43.400,55,1.0
79,Collision,2019-04-26 22:08:00,2019-04-26 23:07:00,I-495S south @ MM 51.600,59,2.0
80,Collision,2019-04-27 00:06:00,2019-04-27 01:16:00,I-495S south @ MM 52.000,70,1.0
81,Collision,2019-04-27 06:23:00,2019-04-27 07:52:00,I-495N north @ MM 55.600,89,5.0
82,Collision,2019-04-27 16:55:00,2019-04-27 17:52:00,I-495S south @ MM 56.100,57,3.0
83,Collision,2019-04-29 21:28:00,2019-04-29 23:45:00,I-495S south @ MM 49.000,137,1.0
84,Collision,2019-04-30 15:13:00,2019-04-30 17:04:00,I-495N north @ MM 45.200,111,1.0
85,Collision,2019-04-30 17:32:00,2019-04-30 18:30:00,I-495N north @ MM 43.100,58,1.0
